OrderID,Product,Quantity,TotalPrice
ORD200789,Tablet,5,3456.4
ORD201122,Monitor,5,3390.95
ORD200632,Laptop,5,3390.8
ORD200469,Chair,5,3384.9
ORD200328,Tablet,5,3370.2
ORD200107,Printer,5,3353.75
ORD200326,Laptop,5,3352.4
ORD201065,Printer,5,3334.0
ORD201031,Phone,5,3322.55
ORD200463,Laptop,5,3313.9
ORD200361,Printer,5,3299.25
ORD200367,Laptop,5,3293.85
ORD200837,Chair,5,3277.75
ORD200527,Chair,5,3267.35
ORD200768,Tablet,5,3267.3
ORD200889,Monitor,5,3253.6
ORD200540,Laptop,5,3243.25
ORD200802,Chair,5,3223.2
ORD200957,Monitor,5,3219.45
ORD200086,Printer,5,3215.15
ORD200221,Tablet,5,3196.85
ORD200967,Tablet,5,3194.6
ORD200296,Desk,5,3194.0
ORD201079,Phone,5,3170.0
ORD200364,Phone,5,3143.7
ORD200764,Laptop,5,3137.15
ORD200010,Tablet,5,3129.85
ORD200820,Phone,5,3119.05
ORD200097,Tablet,5,3097.6
ORD200241,Chair,5,3078.35
ORD200450,Monitor,5,3075.5
ORD200876,Chair,5,3044.55
ORD200492,Laptop,5,3032.6
ORD200633,Laptop,5,3008.6
ORD200731,Printer,5,2922.3
ORD200916,Printer,5,2894.15
ORD200511,Monitor,5,2876.2
ORD200816,Tablet,5,2873.95
ORD200000,Monitor,5,2853.1
ORD200578,Monitor,5,2830.35
ORD200883,Printer,5,2807.4
ORD201002,Tablet,4,2799.52
ORD200628,Printer,5,2793.15
ORD200389,Desk,4,2790.0
ORD201153,Monitor,4,2786.84
ORD201142,Phone,4,2780.4
ORD200222,Chair,4,2773.44
ORD201087,Laptop,4,2772.28
ORD200223,Phone,4,2771.64
ORD201156,Laptop,4,2763.12
ORD200471,Desk,5,2756.35
ORD200002,Tablet,5,2753.4
ORD201076,Laptop,4,2746.44
ORD200423,Printer,4,2740.8
ORD200608,Laptop,5,2715.8
ORD200769,Printer,4,2714.2
ORD200865,Monitor,4,2709.48
ORD200032,Tablet,5,2683.6
ORD200164,Desk,5,2682.9
ORD200252,Phone,4,2673.44
ORD200694,Printer,4,2666.08
ORD200269,Tablet,4,2654.68
ORD200170,Desk,4,2651.76
ORD200963,Chair,5,2651.7
ORD200394,Desk,5,2647.75
ORD200523,Desk,4,2631.16
ORD200781,Phone,5,2621.3
ORD200287,Chair,4,2620.72
ORD200281,Desk,4,2619.16
ORD200823,Laptop,4,2612.52
ORD200683,Desk,4,2609.92
ORD200340,Laptop,5,2606.25
ORD200707,Chair,4,2600.16
ORD200977,Chair,4,2597.88
ORD201094,Printer,4,2595.64
ORD201179,Laptop,5,2592.75
ORD200986,Laptop,4,2579.84
ORD200587,Monitor,5,2573.0
ORD200465,Printer,5,2567.45
ORD200282,Printer,4,2551.16
ORD200446,Laptop,5,2547.9
ORD200390,Printer,5,2543.45
ORD200500,Laptop,5,2542.95
ORD201144,Desk,5,2539.7
ORD200607,Printer,4,2536.2
ORD201097,Monitor,5,2532.25
ORD200549,Monitor,4,2519.52
ORD200120,Tablet,4,2517.36
ORD200872,Chair,4,2517.36
ORD200118,Printer,5,2513.55
ORD200558,Phone,4,2512.48
ORD200925,Monitor,5,2512.35
